id	prompt	score	text
en_000009	1	3	Some additional information you will need are the material. You also need to know the size of the contaneir to measure how the acid rain effected it. You need to know how much vineager is used for each sample. Another thing that would help is to know how big the sample stones are by measureing  the best possible way.
en_000012	1	3	The additional infomation you would need to replicate the experiment would include the size of the samples. Also you would need to know the kind of vinegar. In a ddition it is crucial to get the same type and size containers.
en_000014	1	2	In order the replicate the experiment you need
en_000023	1	0	The students data needed to include how much of the solution was poored. They also needed to find out if the rocks weighed the same when they started.
en_000031	1	2	I additional information that I would need to replicate the experiment is to add where your going to leave the samples for 24 hours. Another one that they would need to add in order for me to replicate the experiment is to clearly state the independent variable. I would also need them to state how much vinegar to pour into each seperate but identical, container.
en_000035	1	1	In order to replicate the experiment.You would need to know how much vinegar to pour ,you need to know how much distilled water and you aso need to know how your going to weigh it.
en_000036	1	2	Well I would need to know what the problem statement is. I would need to know what type of cups we are using.I would need to know the amount of vinegar we are using. And I would need to know if the amount of vinegar in each cup will differ.
en_000066	1	0	To exactly replicate this experiment you would have to know, how they measured the mass of the object, because without that how would we figure out the different masses. We have to know the starting mass, the ending mass and the difference in mass.
en_000068	1	2	I would need the amount of roch in each container. I would need the amount of vinegar of r container. I would need the same kind of vinegar in each container. I would need all of this additional information to replicate this repricant.  I would also need the amount trials done.
en_000069	1	3	1.A list of materials and safety requirements. ^p 2.The amount of vinegar to put in the containers. ^p 3.The temperature of the room/vineger ^p 4.A control group.
en_000074	1	1	On statement 2, They need to put the measurement of the containers ^p On statmen 4 how much water? ^p On number 6 whats the measuremt were suppost to use for the mass.
en_000079	1	1	To replicate this experiment, you would need to know how many ml of vinegar is poured into each container. You would also need to know how much distilled water was supposed to be poured onto the samples. Also, you may want to have the starting mass of each samples be the same.
en_000080	1	1	In order to replicate this experiment,I would need to know 3 more things that weren't stated in the procedure. I would need to know the amount of vinegar poured into the container,the amount of time the samples were in the vinegar and the amount of distilled water used to rinse it off.
en_000089	1	0	The independent varriable is the imarble, limestone wood, plastic.The marble starting point was 9.8g. The limestone was 10.4g and wood starting point 11.2.The end of the exeperiment is that you have to determine the mass of each sample.
en_000096	1	0	In order to replicate this groups procedure, you would need to know the independent and dependent variables as well as the control group for the procedure. Also, to ma ke it more clear, they would need to include a hypothesis of the experimenting well as a purpose.
en_000098	1	1	They should have told the samples that was used. The second thing was the outcome, what happened to the differ.
en_000100	1	2	The group should of added the amount of vinegar used for control. Also they should have compared at least one more trial material before reply 2conclusion.The recommended sizes of the samples should have also been stated in order for the conclusion to be easy to compare with other group attempting to complete this experiment.
en_000102	1	2	In order to replicate this experiment, some additional information I would need is how the grap determined the mass of the samples and what did they use to do so. I would also need to know the amount of vinegar they used to pour in each container as well as what kind of containers they used.
en_000105	1	0	After reading the groups procedure, the following additional information is needed, you need to observe the containers when you fill each with the content, you will need to make sure each container has the very same amount, then also make sure that all the containers are in the same room temp.
en_000106	1	1	The additional information that is needed it the amount of vinegar being poured into each cut. Also you need to record all the information. They need to know how much water they are putting into the containers after 24 hours.
en_000107	1	2	You would need the size of the container, amount of vinegar used, the types of samples. Such as earth, wood, limestone, and plastic and how much of each to put in.
en_000115	1	1	In order to replicate this experiment, you should know how much of each sample you were supposed to start with, what you were trying to determine from this experiment and you should know how the containers were kept room temperature outside etc.
en_000131	1	3	In order to replicate this experiment, there are a few more things I need to know. The problem does not state what the four different samples are. Second, I would need to know how much vinegar to pour in each cup. The amount of vinegar could impact the mass. Last, I would need to where to store the samples for the 24 hour period. Different tempuratures might affect the different samples.
en_000154	1	0	To replicate the group experiment you would need to add information even as if the lab is valid.
en_000157	1	2	The additional information necessary to replicate the experiment are: ^p 1.)The amount of vinegar to pour - this must remain constant in a credible experiment. ^p 2.)The types of samples used should be in the procedure. ^p 3.)
en_000168	1	3	To repeat this experiment, I would need to know the four different  samples without knowing that I don't know what I'm testing. I also need to know how much vinegar in each of the 4 cups. I would need to know where to put all of the different containers. I don't know if they need to stay at room temp, cold or not.
en_000176	1	2	To replicate the procedure i would need to know the amount of vinegar needed, how much distilled water needed to rinse the samples and the type of samples.
en_000190	1	2	Additional information you would need would be a control to see what would happen to the mass with out vinegar. You would also need to  know the size of the containers and how much vinegar you would use.
en_000213	1	2	A desicable additional piece of information would be a control group for the experiment. The it would also be helpful to determine why this experiment was being performed, as well as knowing if the samples were covered or not, and how much vinegar to use.
en_000217	1	1	The additional information that I would need in order to replicate this experiment is where do I leave the containers after I finish putting all the samples into different containers.
en_000218	1	1	Additional information that would be needed for the procedure would be how someone find the mass of the samples and using what to find the mass, what are the samples;marble, limestone, wood and plastic and how to find the different in mass.
en_000221	1	2	The additional information I would need to replicate the experiment, is how many ml of vinigars are poured to each four seperate containers? Not only that but what is the material that is supposed to be sampled? And what are the four different samples? These are information's I need to replicate the procedure.
en_000224	1	2	Additional information that would be needed in order to replicate the experiment would be the following: ^p 1. Explain what the four different samples would be. ^p 2. Explain how much of vinegar should exactly be poured into the four identical cup. ^p 3.Another thing is for them to how much distilled water should be used when rinsing the samples. ^p 4. Indicate is a different amount of liquid with different mass of samples.
en_000228	1	3	You would need to know the amount of vinegar poured into the containers, what order to put samples in & take them out (allat once?), and how long to rinse for.
en_000230	1	0	The students still need to make a hypothesis, a graph and find the difference in mass.
en_000245	1	3	In order to replicate this experiment i would have to know a few more things. One thing i need to know is the temperature at which they did the experiment. I would also need to know how much vinegar was used in the containers. Lastly, i would need to know the appropriate time for rinsing the samples.
en_000247	1	1	Additional information you would need in order to replicate this experiment is a little to show what the students are experimenting. Including writing down the data in the experiment. Make step 3 to separate steps.Also how to find the difference in mass from the starting mass to the ending mass. Another thing to make the experiment better is ti tell how much vinegar to pour into each containers.
en_000249	1	2	There is additional information needed in the procedure to replicate this experiment. I need to know what the four starting samples are. Also, this procedure needs to include weigh the samples. I need to exact amount of vinegar put into each sample. Lastly, at the end you need to weigh the samples out again to measure the difference in weight.
en_000259	1	1	In order to replicate this experiment you would need to know how much vinegar to pour in the four separate containers. You would also need to make sure you put the same amount of vinegar in each container. The last thing you would need to know is how much sample to put in the containers, and make sure its the same type of sample you used at any time.
en_000274	1	1	If trying to replicate this experiment, you would need more information. You need to know how much vinegar to poor into the containers. You will also need to know what to label your container. How do you determine the mass of the samples when trying an experiment, you need  to make sure that you have all of the correct  information before starting your project.
en_000275	1	1	In order to replicate this experiment, you would need to know the materials your using. This procedure does not state the materials needed so you have no idea what to put in the containers full of vinegar.
en_000276	1	1	The students did not make it clear as to what materials they used as samples. They also didn't specify how much of each sample. They also did not indicate why the mass was lost or where it went.
en_000283	1	0	1)Say what you are trying figure out in the first place. ^p 2)It's not enough into figure out what is going on. ^p 3)We need to know more clearly how to do each step.
en_000292	1	0	in order to complete the experiment you would need to know each temp. by hour bic it's recorded after a 24 har period. You would also need to know the mass before it was left to ary for 30 mins.
en_000294	1	1	Additials information that would be good to now is, why are the students performing this xpirement? Why arent there cups a for measures for distiled water amounts, or vinegar amounts? You should also know why the starting mass for the materials all arent the same.
en_000296	1	0	You will need more mass and you have to dry it for 30 minutes. After 24 hours, remove the samples from the containers and note each sample with distilled water. You will probably need more of a little bit of everything.
en_000298	1	2	In order to replicate the group's experement, I would need the following information,  what  the 4 samples  are, how much vinegar to put into each containers and how much of each sample.
en_000302	1	3	I would need the amount of vinegar to put in each container. How long to rinse it in water (materials). And what kind of container casinial use.
