id	EssaySet	eassay_score	essay_score	EssayText
10700000	results/prompt_txt/Prompt10_es.txt	0	0	tapas interior pasos aire energía gris experimento
10700001	results/prompt_txt/Prompt10_es.txt	0	0	centímetros color color pintura color cristal
10700002	results/prompt_txt/Prompt10_es.txt	0	0	caseta pintura Datos experimento luz experimento
10700003	results/prompt_txt/Prompt10_es.txt	0	0	cristal luz escala perro centímetros pasos perro
10700004	results/prompt_txt/Prompt10_es.txt	0	0	descripción lámpara termómetro Hipótesis Hipótesis
10700005	results/prompt_txt/Prompt10_es.txt	0	0	Datos negro cristal pruebas Hipótesis Datos diagrama
10700006	results/prompt_txt/Prompt10_es.txt	0	0	experimento temperatura energía negro resultados
10700007	results/prompt_txt/Prompt10_es.txt	0	0	descripción escala diagrama caseta objeto pasos
10700008	results/prompt_txt/Prompt10_es.txt	0	0	tapas energía caseta bote resultados minutos
10700009	results/prompt_txt/Prompt10_es.txt	0	0	pintura bote bote lámpara cristal minutos gris
10700010	results/prompt_txt/Prompt10_es.txt	0	0	cristal temperatura objeto termómetro termómetro
10700011	results/prompt_txt/Prompt10_es.txt	0	0	resultados diagrama lámpara descripción descripción
10700012	results/prompt_txt/Prompt10_es.txt	0	0	minutos gris experimento color pasos negro escala
10700013	results/prompt_txt/Prompt10_es.txt	0	0	termómetro Hipótesis perro pasos negro temperatura
10700014	results/prompt_txt/Prompt10_es.txt	0	0	luz perro objeto Hipótesis cristal resultados
10700015	results/prompt_txt/Prompt10_es.txt	0	0	objeto escala aire centímetros Datos Hipótesis
10700016	results/prompt_txt/Prompt10_es.txt	0	0	distancia objeto luz centímetros resultados escala
10700017	results/prompt_txt/Prompt10_es.txt	0	0	Hipótesis resultados termómetro perro color energía
10700018	results/prompt_txt/Prompt10_es.txt	0	0	distancia minutos aire distancia minutos pruebas
10700019	results/prompt_txt/Prompt10_es.txt	0	0	energía cristal tapas caseta distancia temperatura
10700020	results/prompt_txt/Prompt10_es.txt	0	0	perro Datos color color gris aire termómetro
10700021	results/prompt_txt/Prompt10_es.txt	0	0	objeto diagrama pruebas centímetros tapas color
10700022	results/prompt_txt/Prompt10_es.txt	0	0	cristal bote lámpara tapas negro experimento
10700023	results/prompt_txt/Prompt10_es.txt	0	0	descripción temperatura bote Datos lámpara perro
10700024	results/prompt_txt/Prompt10_es.txt	0	0	perro termómetro pruebas gris pintura caseta
10700025	results/prompt_txt/Prompt10_es.txt	0	0	lámpara color experimento negro pasos pintura
10700026	results/prompt_txt/Prompt10_es.txt	0	0	bote perro experimento pruebas energía lámpara
10700027	results/prompt_txt/Prompt10_es.txt	0	0	distancia escala experimento resultados experimento
10700028	results/prompt_txt/Prompt10_es.txt	0	0	lámpara gris temperatura minutos interior interior
10700029	results/prompt_txt/Prompt10_es.txt	0	0	centímetros gris centímetros termómetro aire
10700030	results/prompt_txt/Prompt10_es.txt	0	0	pintura resultados interior experimento pintura
10700031	results/prompt_txt/Prompt10_es.txt	0	0	luz luz minutos color Datos caseta aire temperatura
10700032	results/prompt_txt/Prompt10_es.txt	0	0	gris bote temperatura lámpara temperatura gris
