id	EssaySet	eassay_score	essay_score	EssayText
10700000	results/prompt_txt/Prompt10_en.txt	0	0	Question trial description Hypothesis Minutes
10700001	results/prompt_txt/Prompt10_en.txt	0	0	air energy lids trial glass energy thermometer
10700002	results/prompt_txt/Prompt10_en.txt	0	0	Materials Hypothesis Data energy increase results
10700003	results/prompt_txt/Prompt10_en.txt	0	0	steps Data trial effect centimeters paint experiment
10700004	results/prompt_txt/Prompt10_en.txt	0	0	stopwatch description description Hypothesis
10700005	results/prompt_txt/Prompt10_en.txt	0	0	description temperature gray description description
10700006	results/prompt_txt/Prompt10_en.txt	0	0	lids steps Data results paint Hypothesis results
10700007	results/prompt_txt/Prompt10_en.txt	0	0	trial thermometer minutes gray doghouse results
10700008	results/prompt_txt/Prompt10_en.txt	0	0	centimeters Question Data description Minutes
10700009	results/prompt_txt/Prompt10_en.txt	0	0	steps colors paint trial air Materials thermometer
10700010	results/prompt_txt/Prompt10_en.txt	0	0	effect effect increase description centimeters
10700011	results/prompt_txt/Prompt10_en.txt	0	0	minutes Question lamp effect lids colors Minutes
10700012	results/prompt_txt/Prompt10_en.txt	0	0	lids effect starting lids doghouse paint temperature
10700013	results/prompt_txt/Prompt10_en.txt	0	0	Materials gray trial results minutes Note lamp
10700014	results/prompt_txt/Prompt10_en.txt	0	0	colors jar description starting Hypothesis Minutes
10700015	results/prompt_txt/Prompt10_en.txt	0	0	color experiment description starting jar temperature
10700016	results/prompt_txt/Prompt10_en.txt	0	0	Hypothesis Note doghouse color centimeters temperature
10700017	results/prompt_txt/Prompt10_en.txt	0	0	lids centimeters energy trial increase colors
10700018	results/prompt_txt/Prompt10_en.txt	0	0	stopwatch minutes energy steps experiment lamp
10700019	results/prompt_txt/Prompt10_en.txt	0	0	Note thermometer Materials object Materials temperature
10700020	results/prompt_txt/Prompt10_en.txt	0	0	doghouse gray colors doghouse steps Materials
10700021	results/prompt_txt/Prompt10_en.txt	0	0	thermometer glass minutes doghouse results Data
10700022	results/prompt_txt/Prompt10_en.txt	0	0	object description starting starting Minutes
10700023	results/prompt_txt/Prompt10_en.txt	0	0	trial colors Minutes paint glass thermometer
10700024	results/prompt_txt/Prompt10_en.txt	0	0	minutes results Data air thermometer results
10700025	results/prompt_txt/Prompt10_en.txt	0	0	minutes centimeters experiment Question lids
10700026	results/prompt_txt/Prompt10_en.txt	0	0	lamp Question Materials jar increase thermometer
10700027	results/prompt_txt/Prompt10_en.txt	0	0	thermometer experiment Materials Hypothesis steps
10700028	results/prompt_txt/Prompt10_en.txt	0	0	centimeters experiment colors object color increase
10700029	results/prompt_txt/Prompt10_en.txt	0	0	trial experiment glass lamp results thermometer
10700030	results/prompt_txt/Prompt10_en.txt	0	0	stopwatch centimeters description Note energy
10700031	results/prompt_txt/Prompt10_en.txt	0	0	Note temperature paint Question Minutes minutes
10700032	results/prompt_txt/Prompt10_en.txt	0	0	C stopwatch lamp doghouse glass results Question
10700033	results/prompt_txt/Prompt10_en.txt	0	0	minutes Hypothesis trial Materials Hypothesis
10700034	results/prompt_txt/Prompt10_en.txt	0	0	temperature glass object effect doghouse description
10700035	results/prompt_txt/Prompt10_en.txt	0	0	gray gray energy jar stopwatch colors energy
10700036	results/prompt_txt/Prompt10_en.txt	0	0	glass results starting thermometer Materials
10700037	results/prompt_txt/Prompt10_en.txt	0	0	glass experiment stopwatch colors steps energy
10700038	results/prompt_txt/Prompt10_en.txt	0	0	doghouse steps centimeters starting minutes Minutes
10700039	results/prompt_txt/Prompt10_en.txt	0	0	increase steps increase increase results experiment
10700040	results/prompt_txt/Prompt10_en.txt	0	0	Data energy description lids gray stopwatch lamp
10700041	results/prompt_txt/Prompt10_en.txt	0	0	centimeters Data Minutes results results experiment
10700042	results/prompt_txt/Prompt10_en.txt	0	0	Materials increase results color Materials glass
10700043	results/prompt_txt/Prompt10_en.txt	0	0	object experiment results Note increase results
10700044	results/prompt_txt/Prompt10_en.txt	0	0	Materials colors centimeters glass thermometer
10700045	results/prompt_txt/Prompt10_en.txt	0	0	description air colors thermometer paint color
10700046	results/prompt_txt/Prompt10_en.txt	0	0	color Materials lamp effect paint stopwatch Data
10700047	results/prompt_txt/Prompt10_en.txt	0	0	Materials steps increase lids thermometer lamp
10700048	results/prompt_txt/Prompt10_en.txt	0	0	paint steps stopwatch starting doghouse centimeters
10700049	results/prompt_txt/Prompt10_en.txt	0	0	glass thermometer trial trial stopwatch lids
10700050	results/prompt_txt/Prompt10_en.txt	0	0	colors thermometer Minutes color description
10700051	results/prompt_txt/Prompt10_en.txt	0	0	stopwatch starting Question starting stopwatch
10700052	results/prompt_txt/Prompt10_en.txt	0	0	temperature Data jar temperature color Note centimeters
10700053	results/prompt_txt/Prompt10_en.txt	0	0	object temperature Materials Materials Data Note
10700054	results/prompt_txt/Prompt10_en.txt	0	0	jar object Note Minutes stopwatch gray air paint
10700055	results/prompt_txt/Prompt10_en.txt	0	0	Data centimeters Note results results Hypothesis
10700056	results/prompt_txt/Prompt10_en.txt	0	0	lids paint paint trial trial Materials Hypothesis
10700057	results/prompt_txt/Prompt10_en.txt	0	0	experiment color energy Note gray object Hypothesis
10700058	results/prompt_txt/Prompt10_en.txt	0	0	steps results paint glass stopwatch experiment
10700059	results/prompt_txt/Prompt10_en.txt	0	0	Materials air Minutes colors Minutes colors Data
10700060	results/prompt_txt/Prompt10_en.txt	0	0	glass increase stopwatch Hypothesis effect increase
10700061	results/prompt_txt/Prompt10_en.txt	0	0	lamp steps glass centimeters color color energy
10700062	results/prompt_txt/Prompt10_en.txt	0	0	starting Note colors paint object trial results
10700063	results/prompt_txt/Prompt10_en.txt	0	0	description gray results minutes doghouse Data
10700064	results/prompt_txt/Prompt10_en.txt	0	0	C Data Hypothesis effect color lamp energy minutes
10700065	results/prompt_txt/Prompt10_en.txt	0	0	object gray results jar color lids experiment
10700066	results/prompt_txt/Prompt10_en.txt	0	0	color jar colors minutes Note colors stopwatch
10700067	results/prompt_txt/Prompt10_en.txt	0	0	Question object doghouse Data lamp Note centimeters
10700068	results/prompt_txt/Prompt10_en.txt	0	0	energy jar object Question paint temperature
10700069	results/prompt_txt/Prompt10_en.txt	0	0	Minutes thermometer Hypothesis steps minutes
10700070	results/prompt_txt/Prompt10_en.txt	0	0	energy trial Note color glass energy Minutes
10700071	results/prompt_txt/Prompt10_en.txt	0	0	temperature paint color thermometer minutes minutes
10700072	results/prompt_txt/Prompt10_en.txt	0	0	minutes lids increase Hypothesis air paint Minutes
10700073	results/prompt_txt/Prompt10_en.txt	0	0	increase lamp energy starting lamp minutes jar
10700074	results/prompt_txt/Prompt10_en.txt	0	0	steps Hypothesis thermometer effect Data color
10700075	results/prompt_txt/Prompt10_en.txt	0	0	doghouse stopwatch jar temperature paint energy
10700076	results/prompt_txt/Prompt10_en.txt	0	0	gray stopwatch centimeters increase Materials
10700077	results/prompt_txt/Prompt10_en.txt	0	0	minutes Minutes paint Note Materials Materials
10700078	results/prompt_txt/Prompt10_en.txt	0	0	color temperature effect color steps gray Data
10700079	results/prompt_txt/Prompt10_en.txt	0	0	effect minutes stopwatch Data starting doghouse
10700080	results/prompt_txt/Prompt10_en.txt	0	0	Note object minutes Data paint Note Materials
10700081	results/prompt_txt/Prompt10_en.txt	0	0	Data increase object lids glass lamp object doghouse
10700082	results/prompt_txt/Prompt10_en.txt	0	0	Question increase color steps effect Materials
10700083	results/prompt_txt/Prompt10_en.txt	0	0	colors color increase Minutes lamp results paint
10700084	results/prompt_txt/Prompt10_en.txt	0	0	effect color paint air jar air paint trial doghouse
10700085	results/prompt_txt/Prompt10_en.txt	0	0	Hypothesis glass color paint increase lamp color
10700086	results/prompt_txt/Prompt10_en.txt	0	0	colors lamp lids results stopwatch results energy
10700087	results/prompt_txt/Prompt10_en.txt	0	0	Data energy Hypothesis object starting Question
10700088	results/prompt_txt/Prompt10_en.txt	0	0	trial glass increase stopwatch doghouse colors
10700089	results/prompt_txt/Prompt10_en.txt	0	0	lids glass centimeters Materials doghouse air
10700090	results/prompt_txt/Prompt10_en.txt	0	0	experiment paint Hypothesis energy experiment
10700091	results/prompt_txt/Prompt10_en.txt	0	0	temperature stopwatch color thermometer temperature
10700092	results/prompt_txt/Prompt10_en.txt	0	0	centimeters minutes Hypothesis air thermometer
10700093	results/prompt_txt/Prompt10_en.txt	0	0	air glass steps doghouse colors Data centimeters
10700094	results/prompt_txt/Prompt10_en.txt	0	0	Hypothesis temperature jar steps trial air Minutes
10700095	results/prompt_txt/Prompt10_en.txt	0	0	object thermometer doghouse Data Materials lamp
10700096	results/prompt_txt/Prompt10_en.txt	0	0	Note centimeters Note paint color lids energy
10700097	results/prompt_txt/Prompt10_en.txt	0	0	lids Minutes temperature color jar experiment
