id	EssaySet	eassay_score	essay_score	EssayText
10700000	results/prompt_txt/Prompt2_fr.txt	0	0	A données longueur échantillon Questions longueur
10700001	results/prompt_txt/Prompt2_fr.txt	0	0	validité enquête type T1 conception bord poids
10700002	results/prompt_txt/Prompt2_fr.txt	0	0	échantillon validité 2B poids EXERCICE conception
10700003	results/prompt_txt/Prompt2_fr.txt	0	0	conclusion types b. bord échantillon bord mm
10700004	results/prompt_txt/Prompt2_fr.txt	0	0	g enquête résultats données pince poids l’ bord
10700005	results/prompt_txt/Prompt2_fr.txt	0	0	A façons table données façons b. données données
10700006	results/prompt_txt/Prompt2_fr.txt	0	0	Type échantillon minutes pince résultats façons
10700007	results/prompt_txt/Prompt2_fr.txt	0	0	essai minutes résultats l’ échantillon conception
10700008	results/prompt_txt/Prompt2_fr.txt	0	0	Table table poids longueur pince Table conception
10700009	results/prompt_txt/Prompt2_fr.txt	0	0	Questions essai essai bord b. bord plastiques
10700010	results/prompt_txt/Prompt2_fr.txt	0	0	résultats poids b. plastique données T2 côté
10700011	results/prompt_txt/Prompt2_fr.txt	0	0	- essai côté type validité données types type
10700012	results/prompt_txt/Prompt2_fr.txt	0	0	fonction l’ table procédure Procédure essai T1
10700013	results/prompt_txt/Prompt2_fr.txt	0	0	validité validité type résultats longueur types
10700014	results/prompt_txt/Prompt2_fr.txt	0	0	côté Type mm Table Type essai b. pince Type Type
10700015	results/prompt_txt/Prompt2_fr.txt	0	0	mm bord échantillons 2B Table procédure longueur
10700016	results/prompt_txt/Prompt2_fr.txt	0	0	conception conclusion minutes Procédure conception
10700017	results/prompt_txt/Prompt2_fr.txt	0	0	g fonction table façons mm données type conception
10700018	results/prompt_txt/Prompt2_fr.txt	0	0	bord essai b. conception b. plastiques table
10700019	results/prompt_txt/Prompt2_fr.txt	0	0	2B validité Procédure T1 procédure Table b. plastique
10700020	results/prompt_txt/Prompt2_fr.txt	0	0	D minutes conception enquête enquête pince plastique
10700021	results/prompt_txt/Prompt2_fr.txt	0	0	conception T1 Procédure type validité EXERCICE
10700022	results/prompt_txt/Prompt2_fr.txt	0	0	données poids échantillons bord conclusion validité
10700023	results/prompt_txt/Prompt2_fr.txt	0	0	T2 l’ types essai types conclusion EXERCICE mm
10700024	results/prompt_txt/Prompt2_fr.txt	0	0	2B 2B Questions Table EXERCICE 2B procédure validité
10700025	results/prompt_txt/Prompt2_fr.txt	0	0	conception poids b. Table T2 conception enquête
10700026	results/prompt_txt/Prompt2_fr.txt	0	0	Type Questions enquête T2 EXERCICE Table résultats
10700027	results/prompt_txt/Prompt2_fr.txt	0	0	table T2 type procédure échantillon conclusion
10700028	results/prompt_txt/Prompt2_fr.txt	0	0	Questions mm pince échantillon fonction types
10700029	results/prompt_txt/Prompt2_fr.txt	0	0	essai échantillons plastique l’ procédure conception
10700030	results/prompt_txt/Prompt2_fr.txt	0	0	plastiques essai l’ poids Table plastique minutes
10700031	results/prompt_txt/Prompt2_fr.txt	0	0	g EXERCICE T1 Table longueur T1 essai 2B Procédure
10700032	results/prompt_txt/Prompt2_fr.txt	0	0	Type façons Type conception fonction T1 côté
10700033	results/prompt_txt/Prompt2_fr.txt	0	0	enquête Type façons fonction bord 2B plastiques
10700034	results/prompt_txt/Prompt2_fr.txt	0	0	Type longueur types fonction T2 plastique l’
10700035	results/prompt_txt/Prompt2_fr.txt	0	0	plastiques plastiques poids bord bord essai pince
10700036	results/prompt_txt/Prompt2_fr.txt	0	0	poids données l’ b. T2 façons plastique Questions
10700037	results/prompt_txt/Prompt2_fr.txt	0	0	l’ données façons T2 pince côté b. fonction types
10700038	results/prompt_txt/Prompt2_fr.txt	0	0	l’ 2B échantillons procédure Procédure essai
10700039	results/prompt_txt/Prompt2_fr.txt	0	0	T1 bord type poids Type bord l’ T2 données pince
10700040	results/prompt_txt/Prompt2_fr.txt	0	0	essai 2B 2B échantillon conclusion minutes façons
10700041	results/prompt_txt/Prompt2_fr.txt	0	0	2B minutes type longueur façons l’ essai poids
10700042	results/prompt_txt/Prompt2_fr.txt	0	0	type mm EXERCICE type échantillon 2B EXERCICE
10700043	results/prompt_txt/Prompt2_fr.txt	0	0	b. mm côté résultats essai procédure côté conception
10700044	results/prompt_txt/Prompt2_fr.txt	0	0	résultats EXERCICE plastique conclusion plastiques
10700045	results/prompt_txt/Prompt2_fr.txt	0	0	l’ Table résultats EXERCICE T2 b. données b.
10700046	results/prompt_txt/Prompt2_fr.txt	0	0	procédure Type Questions T1 conception validité
10700047	results/prompt_txt/Prompt2_fr.txt	0	0	EXERCICE essai échantillon côté Questions EXERCICE
10700048	results/prompt_txt/Prompt2_fr.txt	0	0	façons table mm l’ pince conception Table type
10700049	results/prompt_txt/Prompt2_fr.txt	0	0	Procédure Type l’ table bord EXERCICE mm pince
10700050	results/prompt_txt/Prompt2_fr.txt	0	0	2B échantillons validité plastiques minutes essai
10700051	results/prompt_txt/Prompt2_fr.txt	0	0	poids conclusion type façons T1 façons T2 2B
10700052	results/prompt_txt/Prompt2_fr.txt	0	0	pince fonction données minutes Table bord Questions
