id	EssaySet	eassay_score	essay_score	EssayText
10700000	results/prompt_txt/Prompt1_en.txt	0	0	investigation Rain procedure containers investigation
10700001	results/prompt_txt/Prompt1_en.txt	0	0	label label minutes data water order order label
10700002	results/prompt_txt/Prompt1_en.txt	0	0	container sample information water data label
10700003	results/prompt_txt/Prompt1_en.txt	0	0	Rain order investigation material students containers
10700004	results/prompt_txt/Prompt1_en.txt	0	0	data samples samples water order label container
10700005	results/prompt_txt/Prompt1_en.txt	0	0	procedure minutes pieces samples data sample
10700006	results/prompt_txt/Prompt1_en.txt	0	0	order mass container label investigation data
10700007	results/prompt_txt/Prompt1_en.txt	0	0	procedure students sample label experiment investigation
10700008	results/prompt_txt/Prompt1_en.txt	0	0	label samples vinegar experiment procedure Rain
10700009	results/prompt_txt/Prompt1_en.txt	0	0	table material pieces information data order
10700010	results/prompt_txt/Prompt1_en.txt	0	0	investigation table students procedure Rain hours
10700011	results/prompt_txt/Prompt1_en.txt	0	0	mass sample container vinegar hours Rain pieces
10700012	results/prompt_txt/Prompt1_en.txt	0	0	vinegar samples order order data label students
10700013	results/prompt_txt/Prompt1_en.txt	0	0	vinegar label table samples hours information
10700014	results/prompt_txt/Prompt1_en.txt	0	0	group table experiment table students group Rain
10700015	results/prompt_txt/Prompt1_en.txt	0	0	group minutes minutes sample material material
10700016	results/prompt_txt/Prompt1_en.txt	0	0	container information experiment table sample
10700017	results/prompt_txt/Prompt1_en.txt	0	0	data procedure students minutes Rain material
10700018	results/prompt_txt/Prompt1_en.txt	0	0	hours minutes students mass samples label containers
10700019	results/prompt_txt/Prompt1_en.txt	0	0	experiment vinegar sample group table mass material
10700020	results/prompt_txt/Prompt1_en.txt	0	0	procedure order minutes students group pieces
10700021	results/prompt_txt/Prompt1_en.txt	0	0	label students containers pieces pieces data
10700022	results/prompt_txt/Prompt1_en.txt	0	0	water sample Rain experiment hours investigation
10700023	results/prompt_txt/Prompt1_en.txt	0	0	minutes hours students students group label mass
10700024	results/prompt_txt/Prompt1_en.txt	0	0	mass mass students pieces samples order Rain
10700025	results/prompt_txt/Prompt1_en.txt	0	0	water material mass minutes label group procedure
10700026	results/prompt_txt/Prompt1_en.txt	0	0	minutes data container minutes order experiment
10700027	results/prompt_txt/Prompt1_en.txt	0	0	container students mass information experiment
10700028	results/prompt_txt/Prompt1_en.txt	0	0	samples procedure students vinegar students procedure
10700029	results/prompt_txt/Prompt1_en.txt	0	0	minutes students group minutes information information
10700030	results/prompt_txt/Prompt1_en.txt	0	0	investigation group minutes vinegar group procedure
10700031	results/prompt_txt/Prompt1_en.txt	0	0	Rain investigation label sample order students
10700032	results/prompt_txt/Prompt1_en.txt	0	0	data sample mass water order containers information
10700033	results/prompt_txt/Prompt1_en.txt	0	0	data information sample experiment material samples
10700034	results/prompt_txt/Prompt1_en.txt	0	0	vinegar students label containers sample pieces
10700035	results/prompt_txt/Prompt1_en.txt	0	0	students procedure table experiment students
10700036	results/prompt_txt/Prompt1_en.txt	0	0	water pieces Rain pieces Rain order samples experiment
10700037	results/prompt_txt/Prompt1_en.txt	0	0	pieces order water minutes group students students
