id	prompt	score	text
en_cw_000001	1	2	1. Pour vinegar quantity\n 2. containers size\n 3. how many time rinse with distilled water
en_cw_000002	1	0	I need information about the percentage of vinegar.
en_cw_000003	1	3	know how much vinegar was used in each container\n know what size/type of container to use\n know how long each sample was rinsed in distilled water..
en_cw_000004	1	0	It is important to pour vinegar in 4 samples to stand for 24 hours and wash with distilled water.\n The stone has the greatest weight loss because it washed off calcium / calcification from it.\n Wood and plastic are constant
en_cw_000005	1	1	The place where the containers were located in\n Temperature of the place where the containers were\n The amount of vinegar placed on each recipient
en_cw_000006	1	2	The ml of vinegar added to each recipient\n The volume of the recipient\n The temperature around the recipient
en_cw_000007	1	0	I don't need any additional information. I need samples, containers and that it.
en_cw_000008	1	0	as additional information it is necessary to know the result of the experiment
en_cw_000009	1	0	the wood is the least affected element with the vinegar after 24 hours was not affected in any way the limestone is the most affected of all its variation of mass is very remarkable
en_cw_000010	1	0	mix 2 samples at the same time and let stand after 40 minutes, then analyze results and then perform the procedure with the other 2 samples
en_cw_000011	1	0	1. Can do procedure with more masses.\n 2. Its better to take equal weight of starting mass.\n 3. Instead of 24 hours keep masses in vinegar for some days for better results.
en_cw_000012	1	1	It is necessary to know the amount of vinegar and concentration
en_cw_000013	1	2	Measurement of vinegar to pour into the containers\n How determine the mass\n Do the sample materials need to be the same shape and surface area
en_cw_000014	1	2	The amount of vinegar added to each container is missing\n The capacity of the containers\n Temperature\n materials
en_cw_000015	1	0	I think that a metal such as iron and aluminum should be included in the experiment, in addition to using another type of acid, sulfuric and chloridic acid.
en_cw_000016	1	0	vinegar\n material:Marble, Limestone, Wood, Plastic\n a scale to take the weight
en_cw_000017	1	1	I need to know how much vinegar is used in each sample.\n I need to know how much distilled water is used to clean the samples .\n I need to know the type of wood is. I mean from what tree he got the material
en_cw_000018	1	0	what is the level of purity of the marble\n what amount of moisture is contained in each samples\n what is the weight of each container
en_cw_000019	1	0	i need to know the acidic value of the sample elements.
en_cw_000020	1	2	It has to say what kind of material of the four types of sample it is not until the end that one deduces what they can be.\n You should also determine what the weight or average size of these samples should be.\n At the end you should check the results to know what they mean.
en_cw_000021	1	1	you need to know what amount of vinegar to put on each sample
en_cw_000022	1	0	after pouring the vinegar the mass should decrease or stay the same \n So next experiment they may watch for the mass difference
en_cw_000023	1	0	- The experiment itself does not merit replicate any.\n - The materials used as sample are of different type of hardness and therefore of resistance.\n - Vinegar, caused three of the materials used to be degraded in almost identical proportions.\n - The o
en_cw_000025	1	3	Size of the containers.\n Milliliters of vinegar to be added to the container.\n The samples must have the same size?
en_cw_000026	1	1	I NEED TO TAKE NOTE OF THE AMOUNT OF VINEGAR USED IN EACH OF THE CONTAINERS
en_cw_000028	1	0	Conditions of the experiment, i.e. temperature and pressure. Concentration of the vinegar.
en_cw_000030	1	0	#NAME?
en_cw_000031	1	1	how the samples should be presented, in a single piece or several small or ground pieces
en_cw_000032	1	1	1- the condition where the sample put in\n 2- the temperature of the room where the sample put in\n 3- any additional external factors to the experiment
en_cw_000034	1	0	physical chemical characteristics of marble.\n physical chemical characteristics of limestone.\n physical chemical characteristics of wood.\n physical chemical characteristics of plastic.\n Vinegar effect on each of the materials studied
en_cw_000036	1	0	Exact parts of samples from marble, limestone, wood and plastic are necessary for a correct scientific experiment.\n Acid rain occurs and is formed when the humidity of the air is combined with nitrogen oxides, sulfur dioxide or sulfur trioxide emitted by factories, power plants, heating boilers and vehicles that coal coal or petroleum products that contain sulfur
en_cw_000038	1	1	By what materials can I replace the samples?\n Can I do it with common water if I do not have distilled water?\n Can it be any type of vinegar?
en_cw_000039	1	0	iron, aluminum and copper
en_cw_000040	1	0	It's hard for a person who doesn't know bout this procedure as such. They should to explain why every single step says what it says. it looks right in general, but it would be better if we could to know why they apply that procedure and that way being able to understand a better way.
en_cw_000041	1	0	after the experiment it was determined that the wood does not lose mass after a prolonged period of vinegar.\n the plastic as well as the wood is not affected by the vinegar and finally the limestone tends to be very affected by the vinegar
en_cw_000042	1	2	Method for determining the mass of the different samples.\n Amount of vinegar to be poured into containers.\n Size of containers used.
en_cw_000043	1	1	In order to replicate the experiment, the size and the surface area of each material sample must be provided. In addition, the temperatures during the 24 hours and 30 minutes drying are also important for replication.
en_cw_000044	1	0	None
en_cw_000045	1	0	the concentration of vinegar is needed, to know how it affects the limestone, the marble or the wood. I do not think any additional information is needed
en_cw_000047	1	0	I would need the masses to which the procedure will be made in this case marble, limestone and wood
en_cw_000048	1	0	This result describe too few information points.
en_cw_000049	1	0	Water and NaCl
en_cw_000050	1	0	plastico marble limestone
en_cw_000051	1	2	What amount of vinegar should I place in the containers\n Can I rinse with normal water?\n Ir does not matter the type of material sample, for the wood if the sample is pine or oak?
en_cw_000052	1	0	You'll need a scale to measure the mass of each sample before and afterwards. You will also need distilled water and a suitable method of labelling your containers.
en_cw_000053	1	0	plastic marble limestone
en_cw_000054	1	2	I would need to know the exac amount of the reactive agents: vinegar and distilled water, if the samples need to stay in a humid or a dry environment and the specific kind of container to use.
en_cw_000055	1	0	The nature of materia that is provided,is it allowed to repeat experiment alone,is there that can go wrong with the results of measuring in the experiment
en_cw_000056	1	2	what kind of vinegar, alcoholic or not, ?\n what temp, samples need to be stored for 24h?
en_cw_000057	1	0	no se
en_cw_000060	1	0	I need four containers with lids, and samples of marble, limestone, wood and plastic that can fit into does containers. I need sufficient volume of vinegar to fill all containers so that samples can all be drown in it. And I need a scale to measure the mass.
en_cw_000061	1	0	The calixa sample had the greatest difference in mass.\n The marble sample had the second biggest difference.\n The plastic sample had a minimal difference.\n The wood sample did not have any loss of mass.
en_cw_000062	1	0	The experiment shows how the vinegar negatively affects the mass of the materials less in the wood
en_cw_000063	1	2	volume of each sample, in cubic centimeters\n density in grams per cubic centimeter of marble, limestone. wood and plastic\n vinegar concentration or molarity
en_cw_000064	1	0	It was determined the mass that presents each of the ingredients that were approved by putting them in contact with the vinegar
en_cw_000065	1	0	no need for additional information
en_cw_000066	1	0	wood, marble and limestone are excellent
en_cw_000067	1	2	The amount of vinegar in each sample. Size of the containers. Were the samples totally immersed in vinegar?
en_cw_000069	1	0	WHY VINEGAR IS NEEDED, SHOULD THE CONTAINER BE OF ANY SPECIFIC MATERIAL AND WHY DO WE NEED DISTILLED WATER?
en_cw_000070	1	1	It could be good to know the material of the container.\n I need to know the type of vinegar.\n How they determine de mass of the samples.
en_cw_000071	1	0	The addition of vinegar reduce the mass or let it be the same.
en_cw_000072	1	0	based on the study, we can conclude about the porosity of the materials provided. They are listed in the table. Marble - 0.4. limestone - 1.3 is the most porous.
en_cw_000073	1	0	I think you should use metals such as iron and aluminum, also use other acids such as sulfuric acid and chloridic acid.
en_cw_000074	1	0	Visual of each product at the end of the test, change of texture and color.
